"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\codye\forge\ARCHITECTURE.md", "Markdown", 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 108, 632
"c:\Users\codye\forge\CAD_EDITOR_DOCS.md", "Markdown", 0, 0, 0, 368, 0, 0, 0, 0, 0, 0, 87, 455
"c:\Users\codye\forge\CAD_FORMATS_EXTENSION.md", "Markdown", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 49, 242
"c:\Users\codye\forge\COMMENTS_SYSTEM_COMPLETE.md", "Markdown", 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 45, 233
"c:\Users\codye\forge\DRAG_DROP_GUIDE.md", "Markdown", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 48, 180
"c:\Users\codye\forge\EMAIL_VERIFICATION.md", "Markdown", 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 64, 391
"c:\Users\codye\forge\ESTIMATOR_QUICKSTART.md", "Markdown", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 58, 267
"c:\Users\codye\forge\ESTIMATOR_README.md", "Markdown", 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 80, 375
"c:\Users\codye\forge\FILLET_CHAMFER_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 58, 322
"c:\Users\codye\forge\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 89, 418
"c:\Users\codye\forge\ISSUE_SYSTEM_DOCS.md", "Markdown", 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 35, 255
"c:\Users\codye\forge\NESTED_FOLDERS.md", "Markdown", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 57, 296
"c:\Users\codye\forge\ONSHAPE_ROADMAP.md", "Markdown", 0, 0, 0, 538, 0, 0, 0, 0, 0, 0, 136, 674
"c:\Users\codye\forge\OWNERSHIP_TRANSFER_GUIDE.md", "Markdown", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 34, 191
"c:\Users\codye\forge\PRIVATE_ACCOUNTS.md", "Markdown", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 27, 108
"c:\Users\codye\forge\PURCHASE_FLOW.md", "Markdown", 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 107, 447
"c:\Users\codye\forge\PURCHASE_FLOW_COMPLETE.md", "Markdown", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 67, 326
"c:\Users\codye\forge\QUICK_START.md", "Markdown", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 74, 329
"c:\Users\codye\forge\QUICK_START_PURCHASE.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 15, 60
