"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\codye\forge\SHELL_TOOL.md", "Markdown", 0, 320, 0, 0, 88, 408
"c:\Users\codye\forge\SKETCH_CANVAS_FIX.md", "Markdown", 0, 180, 0, 0, 51, 231
"c:\Users\codye\forge\__tests__\draft-analysis.test.ts", "TypeScript", 180, 0, 0, 9, 52, 241
"c:\Users\codye\forge\app\cad-editor\page.tsx", "TypeScript JSX", 0, 0, 425, 20, 68, 513
"c:\Users\codye\forge\components\cad\CADViewport.tsx", "TypeScript JSX", 0, 0, 3, 1, 1, 5
"c:\Users\codye\forge\components\cad\ChamferModal.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 3
"c:\Users\codye\forge\components\cad\DraftAnalysisModal.tsx", "TypeScript JSX", 0, 0, 343, 11, 26, 380
"c:\Users\codye\forge\components\cad\FilletModal.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 3
"c:\Users\codye\forge\components\cad\ShellModal.tsx", "TypeScript JSX", 0, 0, 450, 28, 54, 532
"c:\Users\codye\forge\components\cad\SidebarRight.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 35
"c:\Users\codye\forge\components\cad\SketchCanvas.tsx", "TypeScript JSX", 0, 0, 170, 15, 21, 206
"c:\Users\codye\forge\components\cad\SweepLoftModal.tsx", "TypeScript JSX", 0, 0, 491, 22, 50, 563
"c:\Users\codye\forge\components\cad\Toolbar.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\codye\forge\docs\DRAFT_ANALYSIS.md", "Markdown", 0, 234, 0, 0, 69, 303
"c:\Users\codye\forge\docs\OPTIMIZED_SOLVER.md", "Markdown", 0, 451, 0, 0, 125, 576
"c:\Users\codye\forge\lib\cad\draft-analysis-helpers.ts", "TypeScript", 90, 0, 0, 36, 24, 150
"c:\Users\codye\forge\lib\cad\draft-analysis.ts", "TypeScript", 349, 0, 0, 60, 53, 462
"c:\Users\codye\forge\lib\cad\face-operations.ts", "TypeScript", 419, 0, 0, 59, 91, 569
"c:\Users\codye\forge\lib\cad\shell-integration.ts", "TypeScript", 476, 0, 0, 85, 84, 645
"c:\Users\codye\forge\lib\cad\shell-operation.ts", "TypeScript", 555, 0, 0, 89, 111, 755
"c:\Users\codye\forge\lib\cad\sweep-loft-integration.ts", "TypeScript", 422, 0, 0, 92, 108, 622
"c:\Users\codye\forge\lib\cad\sweep-loft.ts", "TypeScript", 664, 0, 0, 130, 147, 941
"c:\Users\codye\forge\pages\api\cad\files\[id]\metadata.ts", "TypeScript", 126, 0, 0, 13, 29, 168
"Total", "-", 3281, 1185, 1925, 670, 1252, 8313
