"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\codye\forge\__tests__\face-operations.test.ts", "TypeScript", 290, 0, 0, 0, 0, 7, 75, 372
"c:\Users\codye\forge\__tests__\pattern-features.test.ts", "TypeScript", 517, 0, 0, 0, 0, 10, 115, 642
"c:\Users\codye\forge\app\assembly-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 953, 78, 170, 1201
"c:\Users\codye\forge\app\bom-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 335, 8, 42, 385
"c:\Users\codye\forge\app\cad-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 421, 19, 62, 502
"c:\Users\codye\forge\app\components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 3, 7, 67
"c:\Users\codye\forge\app\drawing-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 661, 38, 98, 797
"c:\Users\codye\forge\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 3, 7, 51
"c:\Users\codye\forge\components\cad\AssemblyTreePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 9, 19, 242
"c:\Users\codye\forge\components\cad\BOMViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 428, 4, 40, 472
"c:\Users\codye\forge\components\cad\CollisionDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 4, 12, 147
"c:\Users\codye\forge\components\cad\DOFDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 225, 9, 14, 248
"c:\Users\codye\forge\components\cad\DimensionTools.tsx", "TypeScript JSX", 0, 0, 0, 0, 526, 12, 36, 574
"c:\Users\codye\forge\components\cad\DrawingControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 464, 13, 22, 499
"c:\Users\codye\forge\components\cad\DrawingSheetViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 324, 24, 58, 406
"c:\Users\codye\forge\components\cad\ExplodeControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 391, 18, 26, 435
"c:\Users\codye\forge\components\cad\FaceOperationsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 313, 11, 30, 354
"c:\Users\codye\forge\components\cad\FilletModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 2, 0, 20
"c:\Users\codye\forge\components\cad\MateEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 295, 13, 24, 332
"c:\Users\codye\forge\components\cad\MateList.tsx", "TypeScript JSX", 0, 0, 0, 0, 188, 11, 17, 216
"c:\Users\codye\forge\components\cad\PartBrowserPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 175, 9, 24, 208
