Date : 2025-11-26 18:53:18
Directory : /Users/user/Documents/BlueprintCAD
Total : 44 files,  2745 codes, 131 comments, 423 blanks, all 3299 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         16 |        944 |        110 |        162 |      1,216 |
| Markdown       |          3 |        918 |          0 |        190 |      1,108 |
| TypeScript JSX |         19 |        801 |         14 |         64 |        879 |
| TypeScript     |          5 |         66 |          5 |          5 |         76 |
| PostCSS        |          1 |         16 |          2 |          2 |         20 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         44 |      2,745 |        131 |        423 |      3,299 |
| . (Files)                                                                           |          3 |        918 |          0 |        190 |      1,108 |
| app                                                                                 |         17 |        511 |         10 |         33 |        554 |
| app (Files)                                                                         |          2 |         12 |          2 |          2 |         16 |
| app/checkout                                                                        |          1 |         20 |          1 |          1 |         22 |
| app/components                                                                      |          1 |          1 |          0 |          0 |          1 |
| app/dashboard                                                                       |          1 |         16 |          0 |          2 |         18 |
| app/explore                                                                         |          1 |         30 |          0 |          0 |         30 |
| app/folders                                                                         |          1 |          4 |          0 |          0 |          4 |
| app/forum                                                                           |          1 |         20 |          1 |          2 |         23 |
| app/login                                                                           |          1 |          0 |          1 |          1 |          2 |
| app/marketplace                                                                     |          1 |          4 |          0 |          0 |          4 |
| app/messages                                                                        |          1 |          4 |          0 |          0 |          4 |
| app/project                                                                         |          1 |         27 |          0 |          0 |         27 |
| app/project/[id]                                                                    |          1 |         27 |          0 |          0 |         27 |
| app/quote                                                                           |          1 |          4 |          0 |          0 |          4 |
| app/register                                                                        |          1 |          0 |          1 |          1 |          2 |
| app/settings                                                                        |          1 |          1 |          0 |          0 |          1 |
| app/subscription                                                                    |          1 |        337 |          3 |         23 |        363 |
| app/upload                                                                          |          1 |         31 |          1 |          1 |         33 |
| backend                                                                             |          1 |        229 |         37 |         34 |        300 |
| backend/lib                                                                         |          1 |        229 |         37 |         34 |        300 |
| db                                                                                  |          1 |        113 |         11 |         17 |        141 |
| db/migrations                                                                       |          1 |        113 |         11 |         17 |        141 |
| frontend                                                                            |          3 |        306 |          6 |         33 |        345 |
| frontend/components                                                                 |          3 |        306 |          6 |         33 |        345 |
| frontend/components (Files)                                                         |          2 |        312 |          6 |         33 |        351 |
| frontend/components/ui                                                              |          1 |         -6 |          0 |          0 |         -6 |
| lib                                                                                 |          1 |        104 |         20 |         12 |        136 |
| pages                                                                               |         18 |        564 |         47 |        104 |        715 |
| pages/api                                                                           |         18 |        564 |         47 |        104 |        715 |
| pages/api (Files)                                                                   |          1 |         11 |          1 |          1 |         13 |
| pages/api/comments                                                                  |          1 |         14 |          1 |          1 |         16 |
| pages/api/comments/on                                                               |          1 |         14 |          1 |          1 |         16 |
| pages/api/comments/on/[entityType]                                                  |          1 |         14 |          1 |          1 |         16 |
| pages/api/folders                                                                   |          2 |         32 |          2 |          2 |         36 |
| pages/api/folders (Files)                                                           |          1 |         17 |          1 |          1 |         19 |
| pages/api/folders/[id]                                                              |          1 |         15 |          1 |          1 |         17 |
| pages/api/forum                                                                     |          1 |          9 |          1 |          1 |         11 |
| pages/api/manufacturing-orders                                                      |          1 |         55 |          5 |         16 |         76 |
