"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "JSON", "Diff", "TypeScript", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\codye\forge\STOREFRONT_IMPLEMENTATION_STATUS.md", "Markdown", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 24, 147
"c:\Users\codye\forge\SUBSCRIPTION_IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 376, 0, 0, 0, 0, 0, 0, 0, 0, 70, 446
"c:\Users\codye\forge\SUBSCRIPTION_SYSTEM_DESIGN.md", "Markdown", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 61, 348
"c:\Users\codye\forge\SUBSCRIPTION_SYSTEM_SUMMARY.md", "Markdown", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 59, 314
"c:\Users\codye\forge\TEST_SCENARIOS.md", "Markdown", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 84, 407
"c:\Users\codye\forge\app\[username]\store\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 798, 0, 13, 40, 851
"c:\Users\codye\forge\app\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 384, 0, 3, 25, 412
"c:\Users\codye\forge\app\assembly-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 953, 0, 78, 170, 1201
"c:\Users\codye\forge\app\auth\callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 6, 11, 95
"c:\Users\codye\forge\app\bom-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 335, 0, 8, 42, 385
"c:\Users\codye\forge\app\buy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 492, 0, 9, 38, 539
"c:\Users\codye\forge\app\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 482, 0, 10, 49, 541
"c:\Users\codye\forge\app\checkout\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 5, 14, 143
"c:\Users\codye\forge\app\components\CheckoutModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 3, 26, 177
"c:\Users\codye\forge\app\components\FolderBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 1, 14, 139
"c:\Users\codye\forge\app\components\FolderTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 4, 30, 224
"c:\Users\codye\forge\app\components\VerificationBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 1, 11, 113
"c:\Users\codye\forge\app\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\codye\forge\app\components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 12, 24, 287
"c:\Users\codye\forge\app\components\threepreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 12, 48, 297
"c:\Users\codye\forge\app\dashboard\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 415, 0, 7, 24, 446
"c:\Users\codye\forge\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 455, 0, 18, 24, 497
"c:\Users\codye\forge\app\drawing-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 661, 0, 38, 98, 797
"c:\Users\codye\forge\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 2, 27
"c:\Users\codye\forge\app\explore\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 2, 27
"c:\Users\codye\forge\app\explore\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 882, 0, 27, 21, 930
"c:\Users\codye\forge\app\folders\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1591, 0, 30, 80, 1701
