"filename", "language", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\codye\forge\pages\api_DISABLED\analytics.js", "JavaScript", 171, 0, 12, 25, 208
"c:\Users\codye\forge\pages\api_DISABLED\analytics\seller.js", "JavaScript", 338, 0, 35, 45, 418
"c:\Users\codye\forge\pages\api_DISABLED\analytics\track.js", "JavaScript", 24, 0, 2, 7, 33
"c:\Users\codye\forge\pages\api_DISABLED\auth\[...nextauth].js", "JavaScript", 204, 0, 16, 39, 259
"c:\Users\codye\forge\pages\api_DISABLED\auth\disconnect.js", "JavaScript", 57, 0, 7, 14, 78
"c:\Users\codye\forge\pages\api_DISABLED\auth\forgot-password.ts", "TypeScript", 0, 71, 11, 16, 98
"c:\Users\codye\forge\pages\api_DISABLED\auth\forgot-username.ts", "TypeScript", 0, 60, 6, 13, 79
"c:\Users\codye\forge\pages\api_DISABLED\auth\login.js", "JavaScript", 41, 0, 4, 10, 55
"c:\Users\codye\forge\pages\api_DISABLED\auth\providers.js", "JavaScript", 41, 0, 3, 9, 53
"c:\Users\codye\forge\pages\api_DISABLED\auth\register.js", "JavaScript", 73, 0, 10, 17, 100
"c:\Users\codye\forge\pages\api_DISABLED\auth\resend-verification.js", "JavaScript", 62, 0, 9, 14, 85
"c:\Users\codye\forge\pages\api_DISABLED\auth\reset-password.ts", "TypeScript", 0, 53, 6, 14, 73
"c:\Users\codye\forge\pages\api_DISABLED\auth\verify-email.js", "JavaScript", 37, 0, 5, 10, 52
"c:\Users\codye\forge\pages\api_DISABLED\channels\[id]\messages.ts", "TypeScript", 0, 65, 7, 17, 89
"c:\Users\codye\forge\pages\api_DISABLED\channels\index.ts", "TypeScript", 0, 76, 8, 17, 101
"c:\Users\codye\forge\pages\api_DISABLED\messages.ts", "TypeScript", 0, 111, 10, 22, 143
"c:\Users\codye\forge\pages\api_DISABLED\notifications\[id].js", "JavaScript", 79, 0, 8, 18, 105
"c:\Users\codye\forge\pages\api_DISABLED\notifications\index.js", "JavaScript", 42, 0, 5, 8, 55
"c:\Users\codye\forge\pages\api_DISABLED\share-links\[token].js", "JavaScript", 72, 0, 6, 20, 98
"c:\Users\codye\forge\pages\api_DISABLED\share-links\index.js", "JavaScript", 121, 0, 12, 20, 153
"c:\Users\codye\forge\pages\api_DISABLED\share\[token]\access.js", "JavaScript", 101, 0, 7, 14, 122
"c:\Users\codye\forge\pages\api_DISABLED\stats.js", "JavaScript", 18, 0, 1, 4, 23
"c:\Users\codye\forge\pages\api_DISABLED\storefront.js", "JavaScript", 129, 0, 7, 19, 155
"c:\Users\codye\forge\pages\api_DISABLED\subscriptions\can-action.js", "JavaScript", 23, 0, 1, 8, 32
"c:\Users\codye\forge\pages\api_DISABLED\subscriptions\cancel.js", "JavaScript", 31, 0, 4, 10, 45
"c:\Users\codye\forge\pages\api_DISABLED\subscriptions\check.js", "JavaScript", 37, 0, 2, 7, 46
"c:\Users\codye\forge\pages\api_DISABLED\subscriptions\platform-fee.js", "JavaScript", 22, 0, 2, 6, 30
"c:\Users\codye\forge\pages\api_DISABLED\subscriptions\upgrade.js", "JavaScript", 64, 0, 9, 15, 88
"c:\Users\codye\forge\pages\api_DISABLED\subscriptions\webhook.js", "JavaScript", 198, 0, 10, 29, 237
"c:\Users\codye\forge\pages\api_DISABLED\upload.js", "JavaScript", 94, 0, 13, 15, 122
"Total", "-", 2079, 436, 238, 482, 3235
