"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "Diff", "JSON", "TypeScript", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\ARCHITECTURE.md", "Markdown", 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 100, 518
"c:\Users\codye\forge\ARCHITECTURE_SUMMARY.md", "Markdown", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 54, 232
"c:\Users\codye\forge\EMAIL_SETUP_INSTRUCTIONS.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 23, 116
"c:\Users\codye\forge\MASS_EMAIL_GUIDE.md", "Markdown", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 71, 309
"c:\Users\codye\forge\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\codye\forge\SENDGRID_SETUP.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 17, 55
"c:\Users\codye\forge\SMTP_TROUBLESHOOTING.md", "Markdown", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 46, 147
"c:\Users\codye\forge\STOREFRONT_IMPLEMENTATION_STATUS.md", "Markdown", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 24, 147
"c:\Users\codye\forge\WAITLIST_SETUP.md", "Markdown", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 88, 336
"c:\Users\codye\forge\app\[username]\store\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 806, 0, 0, 0, 0, 13, 40, 859
"c:\Users\codye\forge\app\admin\email-campaigns\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 9, 35, 436
"c:\Users\codye\forge\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 3, 8, 106
"c:\Users\codye\forge\app\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 384, 0, 0, 0, 0, 3, 25, 412
"c:\Users\codye\forge\app\api\auth\[...nextauth]\route.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 75
"c:\Users\codye\forge\app\auth\callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 5, 11, 69
"c:\Users\codye\forge\app\auth\setup-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 10, 31, 277
"c:\Users\codye\forge\app\auth\verify-email-notice\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 1, 17, 120
"c:\Users\codye\forge\app\auth\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 17, 153
"c:\Users\codye\forge\app\buy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 490, 0, 0, 0, 0, 9, 38, 537
"c:\Users\codye\forge\app\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 482, 0, 0, 0, 0, 10, 49, 541
"c:\Users\codye\forge\app\checkout\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 5, 14, 143
"c:\Users\codye\forge\app\coming-soon\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 615, 0, 0, 0, 0, 30, 40, 685
"c:\Users\codye\forge\app\components\CheckoutModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 3, 26, 177
"c:\Users\codye\forge\app\components\ConditionalWrappers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 5, 26
"c:\Users\codye\forge\app\components\FolderBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 1, 14, 139
"c:\Users\codye\forge\app\components\FolderTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 4, 30, 224
"c:\Users\codye\forge\app\components\HeadphonesViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 3, 9, 130
"c:\Users\codye\forge\app\components\HeroCADVisual.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 16, 25, 150
"c:\Users\codye\forge\app\components\PasswordGate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 19, 24, 247
"c:\Users\codye\forge\app\components\VerificationBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 1, 11, 114
"c:\Users\codye\forge\app\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
