Date : 2026-04-04 23:34:12
Directory : c:\Users\codye\forge
Total : 44 files,  2627 codes, 29 comments, 181 blanks, all 2837 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         12 |        922 |         14 |         89 |      1,025 |
| TypeScript JSX |         14 |        612 |         -9 |         29 |        632 |
| JSON           |          4 |        554 |          0 |         19 |        573 |
| TypeScript     |         13 |        538 |         23 |         43 |        604 |
| MS SQL         |          1 |          1 |          1 |          1 |          3 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                      |         44 |      2,627 |         29 |        181 |      2,837 |
| . (Files)                                                              |          4 |        554 |          0 |         19 |        573 |
| app                                                                    |         19 |        755 |          9 |         57 |        821 |
| app\[username]                                                         |          1 |        -43 |         -2 |         -4 |        -49 |
| app\[username]\store                                                   |          1 |        -43 |         -2 |         -4 |        -49 |
| app\api                                                                |         10 |        431 |         10 |         37 |        478 |
| app\api\cad                                                            |          1 |         31 |          1 |          3 |         35 |
| app\api\cad\upload                                                     |          1 |         31 |          1 |          3 |         35 |
| app\api\folders                                                        |          2 |         85 |          0 |          7 |         92 |
| app\api\folders (Files)                                                |          1 |         54 |          0 |          4 |         58 |
| app\api\folders\[id]                                                   |          1 |         31 |          0 |          3 |         34 |
| app\api\projects                                                       |          4 |        176 |          0 |         15 |        191 |
| app\api\projects (Files)                                               |          1 |         28 |          0 |          3 |         31 |
| app\api\projects\[id]                                                  |          3 |        148 |          0 |         12 |        160 |
| app\api\projects\[id] (Files)                                          |          1 |         67 |          0 |          4 |         71 |
| app\api\projects\[id]\download                                         |          1 |         43 |          0 |          5 |         48 |
| app\api\projects\[id]\view                                             |          1 |         38 |          0 |          3 |         41 |
| app\api\storefront                                                     |          2 |         99 |          6 |          9 |        114 |
| app\api\storefront (Files)                                             |          1 |         69 |          6 |          7 |         82 |
| app\api\storefront\[username]                                          |          1 |         30 |          0 |          2 |         32 |
| app\api\thumbnails                                                     |          1 |         40 |          3 |          3 |         46 |
| app\api\thumbnails\[key]                                               |          1 |         40 |          3 |          3 |         46 |
| app\coming-soon                                                        |          1 |        262 |          3 |          9 |        274 |
| app\explore                                                            |          1 |       -428 |         -9 |         -2 |       -439 |
| app\landingpage2                                                       |          1 |         -3 |          1 |          0 |         -2 |
| app\messages                                                           |          1 |          1 |          0 |          0 |          1 |
| app\profile                                                            |          1 |        279 |          1 |          9 |        289 |
| app\profile\[username]                                                 |          1 |        279 |          1 |          9 |        289 |
| app\project                                                            |          1 |         31 |          0 |          3 |         34 |
| app\project\[id]                                                       |          1 |         31 |          0 |          3 |         34 |
| app\storefront                                                         |          1 |        127 |          4 |          2 |        133 |
| app\upload                                                             |          1 |         98 |          1 |          3 |        102 |
| backend                                                                |         12 |        922 |         14 |         89 |      1,025 |
| backend (Files)                                                        |          1 |         30 |          4 |          4 |         38 |
| backend\lib                                                            |          5 |        320 |          2 |         21 |        343 |
| backend\routes                                                         |          6 |        572 |          8 |         64 |        644 |
| db                                                                     |          1 |          1 |          1 |          1 |          3 |
| db\migrations                                                          |          1 |          1 |          1 |          1 |          3 |
| frontend                                                               |          7 |        382 |         -4 |         14 |        392 |
| frontend\components                                                    |          5 |        288 |         -8 |          9 |        289 |
| frontend\components (Files)                                            |          3 |        278 |         -8 |          9 |        279 |
| frontend\components\ui                                                 |          2 |         10 |          0 |          0 |         10 |
